Date/Time,Ambient,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6a,Zone 6b,Zone 6c,Zone 7,Zone 8,Zone 9 ,Zone 10
01/10/2022 00:00,4.00E+02,5.97E+02,5.99E+02,4.98E+02,4.98E+02,7.33E+02,5.02E+02,6.04E+02,5.89E+02,4.34E+02,7.21E+02,6.24E+02,5.28E+02
01/10/2022 00:30,4.00E+02,5.88E+02,5.89E+02,4.90E+02,4.90E+02,6.93E+02,5.46E+02,6.48E+02,6.10E+02,4.32E+02,7.16E+02,6.17E+02,5.23E+02
01/10/2022 01:00,4.00E+02,5.81E+02,5.82E+02,4.87E+02,4.87E+02,6.83E+02,5.69E+02,6.69E+02,6.19E+02,4.26E+02,7.05E+02,6.07E+02,5.15E+02
01/10/2022 01:30,4.00E+02,5.79E+02,5.79E+02,4.86E+02,4.86E+02,6.82E+02,5.82E+02,6.77E+02,6.22E+02,4.22E+02,6.99E+02,6.02E+02,5.10E+02
01/10/2022 02:00,4.00E+02,5.77E+02,5.77E+02,4.85E+02,4.85E+02,6.86E+02,5.91E+02,6.82E+02,6.24E+02,4.19E+02,6.95E+02,5.99E+02,5.07E+02
01/10/2022 02:30,4.00E+02,5.75E+02,5.75E+02,4.84E+02,4.84E+02,6.87E+02,5.94E+02,6.85E+02,6.25E+02,4.19E+02,6.91E+02,5.96E+02,5.06E+02
01/10/2022 03:00,4.00E+02,5.73E+02,5.73E+02,4.84E+02,4.84E+02,6.86E+02,5.95E+02,6.86E+02,6.25E+02,4.18E+02,6.88E+02,5.94E+02,5.04E+02
01/10/2022 03:30,4.00E+02,5.72E+02,5.72E+02,4.83E+02,4.83E+02,6.94E+02,5.98E+02,6.91E+02,6.26E+02,4.16E+02,6.85E+02,5.92E+02,5.02E+02
01/10/2022 04:00,4.00E+02,5.72E+02,5.72E+02,4.83E+02,4.83E+02,7.07E+02,6.03E+02,7.00E+02,6.29E+02,4.13E+02,6.81E+02,5.89E+02,4.99E+02
01/10/2022 04:30,4.00E+02,5.71E+02,5.71E+02,4.83E+02,4.83E+02,7.15E+02,6.10E+02,7.08E+02,6.31E+02,4.10E+02,6.78E+02,5.86E+02,4.97E+02
01/10/2022 05:00,4.00E+02,5.71E+02,5.71E+02,4.83E+02,4.83E+02,7.21E+02,6.18E+02,7.15E+02,6.33E+02,4.08E+02,6.76E+02,5.85E+02,4.95E+02
01/10/2022 05:30,4.00E+02,5.72E+02,5.72E+02,4.84E+02,4.84E+02,7.33E+02,6.26E+02,7.25E+02,6.36E+02,4.05E+02,6.75E+02,5.84E+02,4.94E+02
01/10/2022 06:00,4.00E+02,5.73E+02,5.73E+02,4.85E+02,4.85E+02,7.50E+02,6.36E+02,7.37E+02,6.41E+02,4.02E+02,6.75E+02,5.83E+02,4.92E+02
01/10/2022 06:30,4.00E+02,5.73E+02,5.73E+02,4.84E+02,4.84E+02,7.64E+02,6.44E+02,7.46E+02,6.43E+02,4.01E+02,6.72E+02,5.81E+02,4.91E+02
01/10/2022 07:00,4.00E+02,5.72E+02,5.72E+02,4.84E+02,4.84E+02,7.78E+02,6.50E+02,7.52E+02,6.43E+02,4.00E+02,6.69E+02,5.79E+02,4.90E+02
01/10/2022 07:30,4.00E+02,5.71E+02,5.71E+02,4.83E+02,4.83E+02,7.57E+02,6.46E+02,7.55E+02,6.47E+02,4.04E+02,6.72E+02,5.82E+02,4.92E+02
01/10/2022 08:00,4.00E+02,5.70E+02,5.70E+02,4.82E+02,4.82E+02,7.30E+02,6.37E+02,7.41E+02,6.42E+02,4.12E+02,6.77E+02,5.86E+02,4.97E+02
01/10/2022 08:30,4.00E+02,5.74E+02,5.74E+02,4.85E+02,4.85E+02,7.36E+02,6.37E+02,7.38E+02,6.43E+02,4.09E+02,6.82E+02,5.89E+02,4.98E+02
01/10/2022 09:00,4.00E+02,5.81E+02,5.81E+02,4.89E+02,4.89E+02,7.65E+02,6.47E+02,7.47E+02,6.46E+02,4.03E+02,6.87E+02,5.91E+02,4.97E+02
01/10/2022 09:30,4.00E+02,5.88E+02,5.88E+02,4.92E+02,4.92E+02,7.58E+02,6.45E+02,7.53E+02,6.54E+02,4.08E+02,7.02E+02,6.02E+02,5.04E+02
01/10/2022 10:00,4.00E+02,5.95E+02,5.95E+02,4.95E+02,4.95E+02,7.40E+02,6.37E+02,7.46E+02,6.60E+02,4.17E+02,7.21E+02,6.16E+02,5.14E+02
01/10/2022 10:30,4.00E+02,6.01E+02,6.01E+02,4.97E+02,4.97E+02,7.06E+02,6.19E+02,7.21E+02,6.59E+02,4.30E+02,7.41E+02,6.33E+02,5.28E+02
01/10/2022 11:00,4.00E+02,6.07E+02,6.07E+02,5.00E+02,5.00E+02,6.75E+02,6.12E+02,6.81E+02,6.50E+02,4.42E+02,7.60E+02,6.50E+02,5.43E+02
01/10/2022 11:30,4.00E+02,6.13E+02,6.13E+02,5.02E+02,5.02E+02,6.63E+02,6.13E+02,6.64E+02,6.42E+02,4.44E+02,7.72E+02,6.59E+02,5.49E+02
01/10/2022 12:00,4.00E+02,6.19E+02,6.19E+02,5.05E+02,5.05E+02,6.59E+02,6.16E+02,6.58E+02,6.40E+02,4.45E+02,7.83E+02,6.67E+02,5.54E+02
01/10/2022 12:30,4.00E+02,6.22E+02,6.22E+02,5.06E+02,5.06E+02,6.37E+02,6.20E+02,6.41E+02,6.34E+02,4.53E+02,7.94E+02,6.79E+02,5.64E+02
01/10/2022 13:00,4.00E+02,6.24E+02,6.24E+02,5.07E+02,5.07E+02,6.16E+02,6.22E+02,6.22E+02,6.25E+02,4.62E+02,8.05E+02,6.91E+02,5.76E+02
01/10/2022 13:30,4.00E+02,6.30E+02,6.30E+02,5.10E+02,5.10E+02,6.18E+02,6.27E+02,6.20E+02,6.25E+02,4.64E+02,8.16E+02,7.00E+02,5.82E+02
01/10/2022 14:00,4.00E+02,6.38E+02,6.38E+02,5.14E+02,5.14E+02,6.28E+02,6.34E+02,6.28E+02,6.31E+02,4.66E+02,8.28E+02,7.09E+02,5.88E+02
01/10/2022 14:30,4.00E+02,6.41E+02,6.41E+02,5.15E+02,5.15E+02,6.33E+02,6.38E+02,6.32E+02,6.35E+02,4.67E+02,8.34E+02,7.13E+02,5.90E+02
01/10/2022 15:00,4.00E+02,6.42E+02,6.42E+02,5.15E+02,5.15E+02,6.34E+02,6.41E+02,6.35E+02,6.38E+02,4.68E+02,8.37E+02,7.15E+02,5.92E+02
01/10/2022 15:30,4.00E+02,6.42E+02,6.42E+02,5.15E+02,5.15E+02,6.30E+02,6.42E+02,6.33E+02,6.37E+02,4.72E+02,8.39E+02,7.18E+02,5.95E+02
01/10/2022 16:00,4.00E+02,6.42E+02,6.42E+02,5.15E+02,5.15E+02,6.24E+02,6.42E+02,6.29E+02,6.35E+02,4.75E+02,8.41E+02,7.21E+02,5.99E+02
01/10/2022 16:30,4.00E+02,6.39E+02,6.39E+02,5.13E+02,5.13E+02,6.23E+02,6.40E+02,6.27E+02,6.33E+02,4.71E+02,8.34E+02,7.15E+02,5.94E+02
01/10/2022 17:00,4.00E+02,6.35E+02,6.35E+02,5.11E+02,5.11E+02,6.24E+02,6.37E+02,6.26E+02,6.31E+02,4.65E+02,8.25E+02,7.06E+02,5.86E+02
01/10/2022 17:30,4.00E+02,6.33E+02,6.33E+02,5.10E+02,5.10E+02,6.29E+02,6.34E+02,6.28E+02,6.31E+02,4.60E+02,8.17E+02,6.99E+02,5.80E+02
01/10/2022 18:00,4.00E+02,6.31E+02,6.31E+02,5.09E+02,5.09E+02,6.35E+02,6.32E+02,6.33E+02,6.32E+02,4.55E+02,8.10E+02,6.92E+02,5.74E+02
01/10/2022 18:30,4.00E+02,6.29E+02,6.29E+02,5.09E+02,5.09E+02,6.60E+02,6.31E+02,6.50E+02,6.37E+02,4.45E+02,8.00E+02,6.79E+02,5.62E+02
01/10/2022 19:00,4.00E+02,6.29E+02,6.29E+02,5.10E+02,5.10E+02,7.04E+02,6.34E+02,6.79E+02,6.46E+02,4.31E+02,7.87E+02,6.65E+02,5.47E+02
01/10/2022 19:30,4.00E+02,6.27E+02,6.27E+02,5.10E+02,5.10E+02,7.62E+02,6.40E+02,7.18E+02,6.59E+02,4.19E+02,7.72E+02,6.51E+02,5.34E+02
01/10/2022 20:00,4.00E+02,6.24E+02,6.24E+02,5.09E+02,5.09E+02,8.54E+02,6.63E+02,7.41E+02,6.55E+02,4.07E+02,7.50E+02,6.34E+02,5.20E+02
01/10/2022 20:30,4.00E+02,6.17E+02,6.17E+02,5.05E+02,5.05E+02,8.76E+02,6.77E+02,7.89E+02,6.71E+02,4.03E+02,7.38E+02,6.25E+02,5.14E+02
01/10/2022 21:00,4.00E+02,6.08E+02,6.08E+02,5.01E+02,5.01E+02,8.51E+02,6.82E+02,8.18E+02,6.89E+02,4.04E+02,7.29E+02,6.19E+02,5.11E+02
01/10/2022 21:30,4.00E+02,6.04E+02,6.04E+02,4.99E+02,4.99E+02,8.94E+02,7.03E+02,8.07E+02,6.72E+02,4.01E+02,7.14E+02,6.09E+02,5.05E+02
01/10/2022 22:00,4.00E+02,6.00E+02,6.00E+02,4.98E+02,4.98E+02,9.41E+02,7.14E+02,7.98E+02,6.55E+02,4.00E+02,7.02E+02,6.01E+02,5.01E+02
01/10/2022 22:30,4.00E+02,5.94E+02,5.94E+02,4.95E+02,4.95E+02,9.47E+02,7.19E+02,8.10E+02,6.51E+02,4.00E+02,6.95E+02,5.96E+02,4.98E+02
01/10/2022 23:00,4.00E+02,5.88E+02,5.88E+02,4.91E+02,4.91E+02,8.84E+02,7.09E+02,8.41E+02,6.75E+02,4.00E+02,6.91E+02,5.94E+02,4.97E+02
01/10/2022 23:30,4.00E+02,5.81E+02,5.81E+02,4.87E+02,4.87E+02,7.89E+02,6.69E+02,8.11E+02,6.83E+02,4.15E+02,6.97E+02,5.99E+02,5.05E+02
02/10/2022 00:00,4.00E+02,5.76E+02,5.76E+02,4.84E+02,4.84E+02,7.11E+02,6.23E+02,7.49E+02,6.67E+02,4.28E+02,7.00E+02,6.03E+02,5.12E+02
02/10/2022 00:30,4.00E+02,5.74E+02,5.74E+02,4.84E+02,4.84E+02,6.93E+02,6.07E+02,7.16E+02,6.50E+02,4.25E+02,6.95E+02,5.99E+02,5.09E+02
02/10/2022 01:00,4.00E+02,5.73E+02,5.73E+02,4.84E+02,4.84E+02,7.01E+02,6.05E+02,7.07E+02,6.42E+02,4.18E+02,6.87E+02,5.93E+02,5.04E+02
02/10/2022 01:30,4.00E+02,5.74E+02,5.74E+02,4.85E+02,4.85E+02,7.44E+02,6.23E+02,7.19E+02,6.38E+02,4.06E+02,6.78E+02,5.85E+02,4.95E+02
02/10/2022 02:00,4.00E+02,5.75E+02,5.75E+02,4.86E+02,4.86E+02,8.09E+02,6.43E+02,7.20E+02,6.23E+02,4.02E+02,6.70E+02,5.80E+02,4.91E+02
02/10/2022 02:30,4.00E+02,5.77E+02,5.77E+02,4.87E+02,4.87E+02,8.51E+02,6.58E+02,7.35E+02,6.19E+02,4.01E+02,6.69E+02,5.79E+02,4.90E+02
02/10/2022 03:00,4.00E+02,5.78E+02,5.78E+02,4.88E+02,4.88E+02,8.79E+02,6.70E+02,7.52E+02,6.20E+02,4.00E+02,6.70E+02,5.80E+02,4.90E+02
02/10/2022 03:30,4.00E+02,5.78E+02,5.78E+02,4.87E+02,4.87E+02,9.10E+02,6.81E+02,7.61E+02,6.18E+02,4.00E+02,6.68E+02,5.79E+02,4.89E+02
02/10/2022 04:00,4.00E+02,5.76E+02,5.76E+02,4.87E+02,4.87E+02,9.35E+02,6.90E+02,7.69E+02,6.16E+02,4.00E+02,6.65E+02,5.77E+02,4.88E+02
02/10/2022 04:30,4.00E+02,5.76E+02,5.76E+02,4.87E+02,4.87E+02,9.51E+02,6.98E+02,7.77E+02,6.16E+02,4.00E+02,6.65E+02,5.77E+02,4.88E+02
02/10/2022 05:00,4.00E+02,5.77E+02,5.77E+02,4.87E+02,4.87E+02,9.63E+02,7.04E+02,7.85E+02,6.18E+02,4.00E+02,6.65E+02,5.77E+02,4.88E+02
02/10/2022 05:30,4.00E+02,5.77E+02,5.77E+02,4.87E+02,4.87E+02,9.75E+02,7.09E+02,7.89E+02,6.18E+02,4.00E+02,6.65E+02,5.77E+02,4.88E+02
02/10/2022 06:00,4.00E+02,5.77E+02,5.77E+02,4.87E+02,4.87E+02,9.90E+02,7.13E+02,7.92E+02,6.19E+02,4.00E+02,6.65E+02,5.76E+02,4.88E+02
02/10/2022 06:30,4.00E+02,5.76E+02,5.76E+02,4.86E+02,4.86E+02,9.83E+02,7.16E+02,8.03E+02,6.23E+02,4.00E+02,6.64E+02,5.76E+02,4.88E+02
02/10/2022 07:00,4.00E+02,5.75E+02,5.75E+02,4.86E+02,4.86E+02,9.81E+02,7.18E+02,8.03E+02,6.23E+02,4.00E+02,6.62E+02,5.75E+02,4.87E+02
02/10/2022 07:30,4.00E+02,5.75E+02,5.75E+02,4.86E+02,4.86E+02,9.80E+02,7.20E+02,8.03E+02,6.23E+02,4.00E+02,6.62E+02,5.74E+02,4.87E+02
02/10/2022 08:00,4.00E+02,5.75E+02,5.75E+02,4.86E+02,4.86E+02,9.80E+02,7.20E+02,8.03E+02,6.23E+02,4.00E+02,6.62E+02,5.75E+02,4.87E+02
02/10/2022 08:30,4.00E+02,5.78E+02,5.78E+02,4.88E+02,4.88E+02,9.91E+02,7.22E+02,8.02E+02,6.23E+02,4.00E+02,6.67E+02,5.78E+02,4.89E+02
02/10/2022 09:00,4.00E+02,5.84E+02,5.84E+02,4.91E+02,4.91E+02,1.01E+03,7.26E+02,7.97E+02,6.18E+02,4.00E+02,6.74E+02,5.83E+02,4.91E+02
02/10/2022 09:30,4.00E+02,5.93E+02,5.93E+02,4.97E+02,4.97E+02,1.10E+03,7.29E+02,7.65E+02,5.97E+02,4.00E+02,6.83E+02,5.89E+02,4.94E+02
02/10/2022 10:00,4.00E+02,6.08E+02,6.07E+02,5.17E+02,5.17E+02,1.29E+03,6.89E+02,6.51E+02,5.73E+02,4.00E+02,6.93E+02,5.96E+02,4.98E+02
02/10/2022 10:30,4.00E+02,6.22E+02,6.21E+02,5.15E+02,5.15E+02,1.50E+03,6.56E+02,6.25E+02,5.66E+02,4.00E+02,7.09E+02,6.07E+02,5.03E+02
02/10/2022 11:00,4.00E+02,6.38E+02,6.37E+02,5.21E+02,5.21E+02,1.67E+03,6.49E+02,6.41E+02,5.69E+02,4.00E+02,7.30E+02,6.21E+02,5.10E+02
02/10/2022 11:30,4.00E+02,6.57E+02,6.55E+02,6.04E+02,6.04E+02,1.56E+03,6.29E+02,6.01E+02,5.73E+02,4.00E+02,7.42E+02,6.29E+02,5.14E+02
02/10/2022 12:00,4.00E+02,6.67E+02,6.77E+02,7.11E+02,7.11E+02,1.09E+03,4.93E+02,5.73E+02,5.75E+02,4.00E+02,7.54E+02,6.37E+02,5.18E+02
02/10/2022 12:30,4.00E+02,6.55E+02,6.95E+02,7.17E+02,7.17E+02,7.64E+02,4.24E+02,5.40E+02,5.76E+02,4.00E+02,7.53E+02,6.36E+02,5.18E+02
02/10/2022 13:00,4.00E+02,6.46E+02,6.96E+02,6.64E+02,6.64E+02,6.32E+02,4.05E+02,4.92E+02,5.44E+02,4.00E+02,7.66E+02,6.45E+02,5.22E+02
02/10/2022 13:30,4.00E+02,6.39E+02,7.10E+02,6.40E+02,6.40E+02,6.00E+02,4.01E+02,5.17E+02,5.67E+02,4.00E+02,7.58E+02,6.39E+02,5.19E+02
02/10/2022 14:00,4.00E+02,6.39E+02,7.15E+02,6.37E+02,6.37E+02,6.06E+02,4.00E+02,5.26E+02,5.65E+02,4.00E+02,7.41E+02,6.27E+02,5.14E+02
02/10/2022 14:30,4.00E+02,6.44E+02,7.14E+02,6.33E+02,6.33E+02,5.99E+02,4.00E+02,5.02E+02,5.59E+02,4.00E+02,7.64E+02,6.43E+02,5.22E+02
02/10/2022 15:00,4.00E+02,6.67E+02,6.98E+02,5.67E+02,5.67E+02,7.35E+02,4.29E+02,4.86E+02,5.31E+02,4.22E+02,7.92E+02,6.82E+02,5.58E+02
02/10/2022 15:30,4.00E+02,6.81E+02,6.96E+02,5.72E+02,5.72E+02,8.85E+02,4.07E+02,4.28E+02,4.67E+02,4.14E+02,7.94E+02,6.80E+02,5.52E+02
02/10/2022 16:00,4.00E+02,6.75E+02,6.84E+02,6.06E+02,6.06E+02,8.02E+02,4.02E+02,4.10E+02,4.32E+02,4.07E+02,8.02E+02,6.77E+02,5.45E+02
02/10/2022 16:30,4.00E+02,6.65E+02,6.77E+02,6.21E+02,6.21E+02,6.73E+02,4.00E+02,4.31E+02,4.60E+02,4.03E+02,8.10E+02,6.77E+02,5.41E+02
02/10/2022 17:00,4.00E+02,6.56E+02,6.84E+02,6.22E+02,6.22E+02,6.20E+02,4.00E+02,4.69E+02,5.17E+02,4.01E+02,7.98E+02,6.66E+02,5.34E+02
02/10/2022 17:30,4.00E+02,6.57E+02,6.68E+02,5.50E+02,5.50E+02,6.78E+02,4.69E+02,5.31E+02,5.60E+02,4.37E+02,8.08E+02,6.94E+02,5.70E+02
02/10/2022 18:00,4.00E+02,6.51E+02,6.55E+02,5.26E+02,5.26E+02,6.56E+02,5.79E+02,6.12E+02,6.15E+02,4.53E+02,8.25E+02,7.06E+02,5.81E+02
02/10/2022 18:30,4.00E+02,6.66E+02,6.67E+02,5.34E+02,5.34E+02,8.54E+02,4.75E+02,5.44E+02,5.81E+02,4.36E+02,8.17E+02,6.96E+02,5.69E+02
02/10/2022 19:00,4.00E+02,6.63E+02,6.77E+02,5.99E+02,5.99E+02,8.43E+02,4.40E+02,5.67E+02,5.87E+02,4.14E+02,7.83E+02,6.60E+02,5.39E+02
02/10/2022 19:30,4.00E+02,6.60E+02,6.74E+02,5.96E+02,5.96E+02,9.10E+02,4.46E+02,5.77E+02,5.85E+02,4.05E+02,7.67E+02,6.46E+02,5.27E+02
02/10/2022 20:00,4.00E+02,6.60E+02,6.66E+02,5.56E+02,5.56E+02,1.13E+03,4.98E+02,5.79E+02,5.83E+02,4.02E+02,7.61E+02,6.41E+02,5.22E+02
02/10/2022 20:30,4.00E+02,6.57E+02,6.61E+02,5.66E+02,5.66E+02,1.24E+03,5.34E+02,5.77E+02,5.79E+02,4.01E+02,7.49E+02,6.33E+02,5.17E+02
02/10/2022 21:00,4.00E+02,6.55E+02,6.57E+02,5.81E+02,5.81E+02,1.27E+03,5.54E+02,5.72E+02,5.72E+02,4.00E+02,7.37E+02,6.24E+02,5.12E+02
02/10/2022 21:30,4.00E+02,6.53E+02,6.56E+02,6.17E+02,6.17E+02,1.14E+03,5.28E+02,5.69E+02,5.69E+02,4.00E+02,7.33E+02,6.21E+02,5.11E+02
02/10/2022 22:00,4.00E+02,6.45E+02,6.57E+02,6.39E+02,6.39E+02,9.49E+02,4.60E+02,5.54E+02,5.65E+02,4.00E+02,7.32E+02,6.21E+02,5.11E+02
02/10/2022 22:30,4.00E+02,6.40E+02,6.56E+02,6.20E+02,6.20E+02,8.89E+02,4.33E+02,5.53E+02,5.63E+02,4.00E+02,7.30E+02,6.20E+02,5.10E+02
02/10/2022 23:00,4.00E+02,6.40E+02,6.53E+02,5.99E+02,5.99E+02,9.10E+02,4.48E+02,5.59E+02,5.63E+02,4.00E+02,7.27E+02,6.18E+02,5.09E+02
02/10/2022 23:30,4.00E+02,6.41E+02,6.49E+02,5.88E+02,5.88E+02,9.41E+02,5.03E+02,5.59E+02,5.60E+02,4.00E+02,7.18E+02,6.12E+02,5.06E+02
03/10/2022 00:00,4.00E+02,6.41E+02,6.45E+02,5.85E+02,5.85E+02,9.62E+02,5.35E+02,5.56E+02,5.56E+02,4.00E+02,7.09E+02,6.05E+02,5.03E+02
03/10/2022 00:30,4.00E+02,6.41E+02,6.43E+02,5.67E+02,5.67E+02,1.07E+03,5.47E+02,5.56E+02,5.56E+02,4.00E+02,7.11E+02,6.07E+02,5.03E+02
03/10/2022 01:00,4.00E+02,6.41E+02,6.42E+02,5.51E+02,5.51E+02,1.22E+03,5.53E+02,5.57E+02,5.57E+02,4.00E+02,7.18E+02,6.12E+02,5.06E+02
03/10/2022 01:30,4.00E+02,6.42E+02,6.42E+02,5.65E+02,5.65E+02,1.28E+03,5.56E+02,5.59E+02,5.59E+02,4.00E+02,7.19E+02,6.13E+02,5.06E+02
03/10/2022 02:00,4.00E+02,6.43E+02,6.44E+02,5.87E+02,5.87E+02,1.26E+03,5.58E+02,5.59E+02,5.59E+02,4.00E+02,7.19E+02,6.12E+02,5.06E+02
03/10/2022 02:30,4.00E+02,6.42E+02,6.42E+02,5.84E+02,5.84E+02,1.27E+03,5.58E+02,5.58E+02,5.58E+02,4.00E+02,7.16E+02,6.11E+02,5.05E+02
03/10/2022 03:00,4.00E+02,6.40E+02,6.40E+02,5.77E+02,5.77E+02,1.30E+03,5.58E+02,5.57E+02,5.57E+02,4.00E+02,7.13E+02,6.09E+02,5.04E+02
03/10/2022 03:30,4.00E+02,6.38E+02,6.38E+02,5.71E+02,5.71E+02,1.35E+03,5.57E+02,5.57E+02,5.57E+02,4.00E+02,7.13E+02,6.08E+02,5.04E+02
03/10/2022 04:00,4.00E+02,6.35E+02,6.35E+02,5.63E+02,5.63E+02,1.43E+03,5.57E+02,5.57E+02,5.57E+02,4.00E+02,7.13E+02,6.09E+02,5.04E+02
03/10/2022 04:30,4.00E+02,6.32E+02,6.32E+02,5.71E+02,5.71E+02,1.44E+03,5.55E+02,5.54E+02,5.54E+02,4.00E+02,7.05E+02,6.03E+02,5.02E+02
03/10/2022 05:00,4.00E+02,6.28E+02,6.28E+02,5.76E+02,5.76E+02,1.41E+03,5.52E+02,5.50E+02,5.50E+02,4.00E+02,6.95E+02,5.96E+02,4.98E+02
03/10/2022 05:30,4.00E+02,6.26E+02,6.26E+02,5.63E+02,5.63E+02,1.47E+03,5.51E+02,5.49E+02,5.49E+02,4.00E+02,6.98E+02,5.98E+02,4.99E+02
03/10/2022 06:00,4.00E+02,6.24E+02,6.24E+02,5.25E+02,5.25E+02,1.69E+03,5.58E+02,5.66E+02,5.53E+02,4.00E+02,7.05E+02,6.04E+02,5.02E+02
03/10/2022 06:30,4.00E+02,6.23E+02,6.23E+02,5.57E+02,5.57E+02,1.70E+03,5.58E+02,5.59E+02,5.53E+02,4.00E+02,7.04E+02,6.03E+02,5.01E+02
03/10/2022 07:00,4.00E+02,6.22E+02,6.23E+02,6.13E+02,6.13E+02,1.42E+03,5.19E+02,5.54E+02,5.52E+02,4.00E+02,7.00E+02,6.00E+02,5.00E+02
03/10/2022 07:30,4.00E+02,6.18E+02,6.23E+02,6.17E+02,6.17E+02,1.21E+03,4.76E+02,5.50E+02,5.50E+02,4.00E+02,6.98E+02,5.99E+02,4.99E+02
03/10/2022 08:00,4.00E+02,6.13E+02,6.22E+02,6.07E+02,6.07E+02,1.05E+03,4.44E+02,5.42E+02,5.48E+02,4.00E+02,6.96E+02,5.97E+02,4.99E+02
03/10/2022 08:30,4.00E+02,6.13E+02,6.24E+02,5.91E+02,5.91E+02,9.96E+02,4.27E+02,5.40E+02,5.48E+02,4.00E+02,7.01E+02,6.01E+02,5.00E+02
03/10/2022 09:00,4.00E+02,6.17E+02,6.27E+02,5.79E+02,5.79E+02,1.01E+03,4.19E+02,5.45E+02,5.50E+02,4.00E+02,7.09E+02,6.06E+02,5.03E+02
03/10/2022 09:30,4.00E+02,6.24E+02,6.36E+02,5.93E+02,5.93E+02,9.61E+02,4.12E+02,5.43E+02,5.53E+02,4.00E+02,7.20E+02,6.14E+02,5.07E+02
03/10/2022 10:00,4.00E+02,6.32E+02,6.49E+02,6.07E+02,6.07E+02,9.06E+02,4.06E+02,5.43E+02,5.58E+02,4.00E+02,7.33E+02,6.22E+02,5.11E+02
03/10/2022 10:30,4.00E+02,6.49E+02,6.58E+02,5.73E+02,5.73E+02,1.06E+03,4.03E+02,4.68E+02,5.18E+02,4.01E+02,7.67E+02,6.48E+02,5.25E+02
03/10/2022 11:00,4.00E+02,6.51E+02,6.54E+02,5.35E+02,5.35E+02,8.79E+02,4.92E+02,6.25E+02,6.03E+02,4.38E+02,8.02E+02,6.80E+02,5.57E+02
03/10/2022 11:30,4.00E+02,6.57E+02,6.59E+02,5.28E+02,5.28E+02,7.84E+02,5.13E+02,6.28E+02,6.29E+02,4.63E+02,8.32E+02,7.10E+02,5.86E+02
03/10/2022 12:00,4.00E+02,6.67E+02,6.68E+02,5.30E+02,5.30E+02,7.35E+02,5.12E+02,6.05E+02,6.26E+02,4.79E+02,8.55E+02,7.37E+02,6.10E+02
03/10/2022 12:30,4.00E+02,6.71E+02,6.71E+02,5.30E+02,5.30E+02,7.17E+02,5.22E+02,6.05E+02,6.27E+02,4.80E+02,8.62E+02,7.43E+02,6.15E+02
03/10/2022 13:00,4.00E+02,6.73E+02,6.73E+02,5.30E+02,5.30E+02,7.12E+02,5.39E+02,6.15E+02,6.33E+02,4.78E+02,8.65E+02,7.43E+02,6.14E+02
03/10/2022 13:30,4.00E+02,6.85E+02,6.85E+02,5.38E+02,5.38E+02,7.73E+02,5.12E+02,6.06E+02,6.30E+02,4.66E+02,8.70E+02,7.42E+02,6.08E+02
03/10/2022 14:00,4.00E+02,7.06E+02,7.08E+02,5.72E+02,5.72E+02,9.53E+02,4.53E+02,5.29E+02,5.88E+02,4.33E+02,8.79E+02,7.35E+02,5.86E+02
03/10/2022 14:30,4.00E+02,7.04E+02,7.05E+02,5.54E+02,5.54E+02,9.06E+02,4.91E+02,6.12E+02,6.23E+02,4.49E+02,8.85E+02,7.43E+02,5.98E+02
03/10/2022 15:00,4.00E+02,6.96E+02,6.97E+02,5.43E+02,5.43E+02,8.04E+02,5.52E+02,6.62E+02,6.61E+02,4.70E+02,8.97E+02,7.57E+02,6.14E+02
03/10/2022 15:30,4.00E+02,6.92E+02,6.92E+02,5.39E+02,5.39E+02,7.53E+02,5.47E+02,6.42E+02,6.60E+02,4.84E+02,9.00E+02,7.67E+02,6.28E+02
03/10/2022 16:00,4.00E+02,6.89E+02,6.89E+02,5.37E+02,5.37E+02,7.28E+02,5.27E+02,6.13E+02,6.42E+02,4.91E+02,8.97E+02,7.72E+02,6.36E+02
03/10/2022 16:30,4.00E+02,6.81E+02,6.81E+02,5.32E+02,5.32E+02,6.87E+02,6.17E+02,6.59E+02,6.63E+02,4.79E+02,8.95E+02,7.61E+02,6.22E+02
03/10/2022 17:00,4.00E+02,6.79E+02,6.79E+02,5.32E+02,5.32E+02,6.87E+02,6.53E+02,6.77E+02,6.73E+02,4.70E+02,8.92E+02,7.52E+02,6.12E+02
03/10/2022 17:30,4.00E+02,6.76E+02,6.76E+02,5.31E+02,5.31E+02,6.95E+02,6.65E+02,6.87E+02,6.79E+02,4.62E+02,8.85E+02,7.43E+02,6.03E+02
03/10/2022 18:00,4.00E+02,6.78E+02,6.78E+02,5.34E+02,5.34E+02,7.46E+02,5.91E+02,6.67E+02,6.73E+02,4.66E+02,8.77E+02,7.40E+02,6.04E+02
03/10/2022 18:30,4.00E+02,6.76E+02,6.76E+02,5.33E+02,5.33E+02,7.83E+02,5.73E+02,6.70E+02,6.72E+02,4.61E+02,8.66E+02,7.31E+02,5.96E+02
03/10/2022 19:00,4.00E+02,6.72E+02,6.72E+02,5.31E+02,5.31E+02,8.11E+02,5.87E+02,6.94E+02,6.81E+02,4.54E+02,8.55E+02,7.20E+02,5.87E+02
03/10/2022 19:30,4.00E+02,6.66E+02,6.66E+02,5.28E+02,5.28E+02,8.27E+02,6.16E+02,7.38E+02,6.94E+02,4.46E+02,8.44E+02,7.07E+02,5.75E+02
